 Rank                     Fighter Score
  348               Heili Alateng  1032
  349             Makhmud Muradov  1032
  350                  Ciryl Gane  1032
  351           Billy Quarantillo  1032
  352                 Joel Sutton  1031
  353               Laverne Clark  1031
  354                Marcus Davis  1031
  355                 Mike Pierce  1031
  356        Alexander Gustafsson  1031
  357              Michael Graves  1031
  358          Joanna Jędrzejczyk  1031
  359             Poliana Botelho  1031
  360                   Don Madge  1031
  361               Maycee Barber  1031
  362            Alonzo Menifield  1031
  363                Molly McCann  1031
  364              Rodolfo Vieira  1031
  365                  Da Un Jung  1031
  366                 Alex Hunter  1030
  367                   Nick Diaz  1030
  368         George Sotiropoulos  1030
  369              Claude Patrick  1030
  370            Costas Philippou  1030
  371                 Kevin Souza  1030
  372                Alberto Mina  1030
  373                   Dan Kelly  1030
  374                Maryna Moroz  1030
  375       Antônio Carlos Júnior  1030
  376              Jeremy Kennedy  1030
  377                 Devin Clark  1030
  378              Nathaniel Wood  1030
  379            Rogério Bontorin  1030
  380                 Mark Madsen  1030
  381                  Marco Ruas  1029
  382        Vladimir Matyushenko  1029
  383                Brock Lesnar  1029
  384              Jacob Volkmann  1029
  385                Jake Shields  1029
  386              Taylor Lapilus  1029
  387               Kajan Johnson  1029
  388           Magomed Mustafaev  1029
  389                 Brett Johns  1029
  390             Michael Trizano  1029
  391                Jamahal Hill  1029
  392               Gerald Harris  1028
  393             Takeya Mizugaki  1028
  394                Dustin Ortiz  1028
  395           Raquel Pennington  1028
  396               Gleison Tibau  1027
  397              Brian Ebersole  1027
  398              Iuri Alcântara  1027
  399               Felice Herrig  1027
  400                  Holly Holm  1027
  401              Mackenzie Dern  1027
  402              Cezar Ferreira  1026
  403                Gavin Tucker  1026
  404              Sijara Eubanks  1026
  405          Lívia Renata Souza  1026
  406               Dan Henderson  1025
  407             Martin Kampmann  1025
  408              Wilson Gouveia  1025
  409                 Tim Boetsch  1025
  410              Cathal Pendred  1025
  411                 Johnny Case  1025
  412               Paige VanZant  1025
  413           Gillian Robertson  1025
  414              Thiago Tavares  1024
  415              Andrew Sanchez  1024
  416                Mark Coleman  1023
  417                Sean Pierson  1023
  418                Alex Caceres  1023
  419               Danny Roberts  1023
  420             Kevin Randleman  1022
  421               David Terrell  1022
  422                  Paul Daley  1022
  423                 John Moraga  1022
  424              Ali Bagautinov  1022
  425                 Alex Morono  1022
  426                Trevin Giles  1022
  427                Ken Shamrock  1021
  428                 Jeff Monson  1021
  429               Josh Koscheck  1021
  430              Stephan Bonnar  1021
  431               Frankie Saenz  1021
  432                Matt Schnell  1021
  433    Antônio Rogério Nogueira  1020
  434            Tatsuya Kawajiri  1020
  435                 Miesha Tate  1020
  436                  Stevie Ray  1020
  437                Ion Cuțelaba  1020
  438           Roxanne Modafferi  1020
  439                Matt Frevola  1020
  440                Dwight Grant  1020
  441              Mario Bautista  1020
  442               Maurice Smith  1019
  443                   Mark Hunt  1019
  444                   Che Mills  1019
  445          Ovince Saint Preux  1019
  446           Joanne Calderwood  1019
  447           Michelle Waterson  1019
  448               Ramazan Emeev  1019
  449            Curtis Millender  1019
  450                 Andre Ewell  1019
  451               Thiago Moisés  1019
  452                 Yadong Song  1019
  453                 Joe Solecki  1019
  454            Kenichi Yamamoto  1018
  455              Maiquel Falcão  1018
  456                 Wilson Reis  1018
  457               Tom Niinimäki  1018
  458                    Ray Borg  1018
  459                   Tim Means  1018
  460                Tecia Torres  1018
  461                Sultan Aliev  1018
  462              Megan Anderson  1018
  463           Sergey Khandozhko  1018
  464           Brianna Van Buren  1018
  465                 Sabina Mazo  1018
  466                Khama Worthy  1018
  467             Kalinn Williams  1018
  468                Mark Schultz  1017
  469              Scott Ferrozzo  1017
  470              Ikuhisa Minowa  1017
  471                Sanae Kikuta  1017
  472                  Lee Murray  1017
  473                   Ed Herman  1017
  474               Stefan Struve  1017
  475                 Todd Duffee  1017
  476              Javier Vazquez  1017
  477                 Renan Barão  1017
  478              Caio Magalhaes  1017
  479                Patrick Côté  1017
  480              Albert Tumenov  1017
  481              Elias Silverio  1017
  482                Leslie Smith  1017
  483    Douglas Silva de Andrade  1017
  484             Timothy Johnson  1017
  485               Shinsho Anzai  1017
  486                  Mike Perry  1017
  487                   Joe Duffy  1017
  488          Dmitriy Sosnovskiy  1017
  489          Laureano Staropoli  1017
  490                 Mike Grundy  1017
  491                 Khalid Taha  1017
  492             Felicia Spencer  1017
  493                Joel Alvarez  1017
  494            Tristan Connelly  1017
  495              Gerard Gordeau  1016
  496               Remco Pardoel  1016
  497               Frank Hamaker  1016
  498                    Jon Hess  1016
  499            Onassis Parungao  1016
  500                   Mark Hall  1016
  501               Rafael Carino  1016
  502               Justin Martin  1016
  503           Yoshiki Takahashi  1016
  504                 Enson Inoue  1016
  505            Kazushi Sakuraba  1016
  506               Mikey Burnett  1016
  507            Tsuyoshi Kohsaka  1016
  508              Tulio Palhares  1016
  509             Cesar Marscucci  1016
  510                  Sione Latu  1016
