Fighter;Result;Opponent;Date;Method;Fight Number
TJ Waldburger;def.;Nick Catone;December 15, 2012;Submission;4
Pedro Munhoz;def.;Bryan Caraway;November 30, 2018;TKO;10
Joseph Benavidez;def.;Alex Perez;November 30, 2018;TKO;6
Tim Means;def.;Ricky Rainey;November 30, 2018;TKO;2
Maurice Smith;def.;Marco Ruas;July 16, 1999;TKO;8
Pat Miletich;def.;Andre Pederneiras;July 16, 1999;TKO;7
Jeremy Horn;def.;Daiju Takase;July 16, 1999;TKO;6
Tsuyoshi Kosaka;def.;Tim Lajcik;July 16, 1999;TKO;4
Ricco Rodriguez;def.;Tsuyoshi Kosaka;May 10, 2002;TKO;7
B.J. Penn;def.;Paul Creighton;May 10, 2002;TKO;6
Phil Baroni;def.;Amar Suloev;May 10, 2002;TKO;5
Ivan Salaverry;def.;Andrei Semenov;May 10, 2002;TKO;3
Michael Bisping;def.;Jorge Rivera;27 February 2011;TKO;9
Kevin Lee;def.;Jake Matthews;July 8, 2016;TKO;2
Gerald Meerschaert;def.;Eric Spicely;December 1, 2017;TKO;8
Matt Hughes;def.;Marcelo Aguiar;June 9, 2000;TKO;4
Anthony Smith;def.;Elvis Mutapcic;December 3, 2016;TKO;2
Clint Hester;def.;Bristol Marunde;April 13, 2013;TKO;4
Roxanne Modafferi;def.;Barb Honchak;July 6, 2018;TKO;8
Jared Cannonier;def.;Nick Roehrick;July 7, 2017;TKO;8
Vitor Belfort;def.;Michael Bisping;January 19, 2013;TKO;11
Mike Pyle;def.;James Head;December 15, 2012;TKO;7
Cat Zingano;def.;Miesha Tate;April 13, 2013;TKO;10
Willie Gates;def.;Darrell Montague;July 12, 2015;TKO;1
Josh Samman;def.;Kevin Casey;April 13, 2013;TKO;7
Hugo Viana;def.;Reuben Duran;December 15, 2012;TKO;3
Elias Theodorou;def.;Sheldon Westcott;April 16, 2014;TKO;11
Julianna Peña;def.;Jessica Rakoczy;November 30, 2013;TKO;9
Justin Gaethje;def.;Michael Johnson;July 7, 2017;TKO;11
Ryan Janes;def.;Andrew Sanchez;December 1, 2017;TKO;4
Shana Dobson;def.;Ariel Beck;December 1, 2017;TKO;2
Jorge Masvidal;def.;Jake Ellenberger;December 3, 2016;TKO;10
Kevin Lee;def.;Jake Matthews;July 8, 2016;TKO;2
Maximo Blanco;def.;Mike De La Torre;July 12, 2015;TKO;6
Ross Pearson;def.;Gray Maynard;August 16, 2014;TKO;9
Tim Boetsch;def.;Brad Tavares;August 16, 2014;TKO;8
Shawn Jordan;def.;Jack May;August 16, 2014;TKO;6
Stipe Miocic;def.;Fábio Maldonado;May 31, 2014;TKO;12
Kevin Souza;def.;Mark Eddiva;May 31, 2014;TKO;4
Pedro Munhoz;def.;Matt Hobar;May 31, 2014;TKO;1
Dustin Poirier;def.;Akira Corassani;April 16, 2014;TKO;9
Nate Diaz;def.;Gray Maynard;November 30, 2013;TKO;10
Dylan Andrews;def.;Jimmy Quinlan;April 13, 2013;TKO;5
Roy Nelson;def.;Matt Mitrione;December 15, 2012;TKO;11
Yuki Kondo;def.;Alexandre Dantas;September 22, 2000;TKO;3
Ian Freeman;def.;Tedd Williams;September 22, 2000;Decision;2
Jeff Monson;def.;Tim Lajcik;September 22, 2000;Decision;1
Dan Severn;def.;Oleg Taktarov;December 16, 1995;Decision;9
Dan Severn;def.;Tank Abbott;December 16, 1995;Decision;8
Oleg Taktarov;def.;Marco Ruas;December 16, 1995;Decision;7
